id,title,type,release_year,runtime,genres,seasons,imdb_score,tmdb_score
tm233539,Dilwale,MOVIE,2015,158,"['comedy', 'drama', 'romance', 'action']",,5.0,6.6
ts41963,Easy,SHOW,2016,30,"['drama', 'comedy']",3.0,6.9,"6,344"
tm233317,Pee-wee's Big Holiday,MOVIE,2016,90,"['comedy', 'family']",,6.1,6.1
ts51368,Skylanders Academy,SHOW,2016,23,"['action', 'animation', 'family', 'fantasy', 'comedy']",3.0,6.7,"6,095"
tm137002,BÄhubali: The Beginning,MOVIE,2015,158,"['action', 'drama', 'fantasy']",,8.0,"7,572"
tm151716,Cowspiracy: The Sustainability Secret,MOVIE,2015,90,['documentation'],,8.1,"7,722"
tm238717,Barakah Meets Barakah,MOVIE,2016,88,"['comedy', 'romance']",,6.3,6.4
tm244403,ARQ,MOVIE,2016,88,"['thriller', 'action', 'scifi']",,6.3,"6,092"
ts3844,Aquarius,SHOW,2015,43,"['drama', 'crime', 'thriller', 'european']",2.0,7.0,6.64
tm275800,The Lighthouse of the Orcas,MOVIE,2016,110,"['romance', 'drama', 'european']",,6.7,7.0
tm233425,A Silent Voice: The Movie,MOVIE,2016,130,"['drama', 'animation', 'family', 'romance']",,8.1,"8,393"
tm219699,Phantom,MOVIE,2015,136,"['thriller', 'action', 'drama', 'crime', 'horror', 'european']",,5.9,"5,577"
ts52825,The Princess Weiyoung,SHOW,2016,45,"['drama', 'war', 'history', 'romance']",1.0,7.8,"6,976"
tm244923,My Mother's Wound,MOVIE,2016,120,"['drama', 'thriller', 'war']",,7.3,6.9
ts76079,Grizzy & the Lemmings,SHOW,2016,7,"['animation', 'comedy', 'family', 'european']",3.0,7.1,8.2
ts41154,Paquita Salas,SHOW,2016,28,"['comedy', 'european']",3.0,8.0,"7,091"
tm208903,For the Love of Spock,MOVIE,2016,111,['documentation'],,7.6,7.4
tm263743,The Doll,MOVIE,2016,106,"['thriller', 'horror']",,5.1,5.31
tm278279,One in a Billion,MOVIE,2016,70,['documentation'],,6.7,6.6
tm252245,The White Helmets,MOVIE,2016,40,"['documentation', 'war']",,,"7,366"
ts41253,Love O2O,SHOW,2016,45,"['drama', 'comedy', 'romance']",1.0,7.8,"6,323"
tm246543,Journey to Greenland,MOVIE,2016,98,"['drama', 'comedy', 'european']",,6.3,6.0
tm242687,Riphagen the Untouchable,MOVIE,2016,132,"['thriller', 'drama', 'war', 'european']",,7.1,6.5
tm193125,Hot Girls Wanted,MOVIE,2015,84,['documentation'],,6.1,6.0
ts55365,The Haunted House,SHOW,2016,25,"['thriller', 'comedy', 'drama', 'family', 'fantasy', 'horror', 'animation']",7.0,8.3,"7,333"
tm225416,Janoskians: Untold and Untrue,MOVIE,2015,88,['comedy'],,3.7,5.1
ts43501,Secrets of Great British Castles,SHOW,2015,44,"['documentation', 'history', 'european']",2.0,7.7,"6,818"
ts76956,The Letdown,SHOW,2016,30,['comedy'],2.0,7.5,"7,083"
ts41883,The K2,SHOW,2016,65,"['action', 'war', 'drama', 'romance', 'thriller']",1.0,7.8,7.4
tm209037,Tea Time,MOVIE,2015,70,['documentation'],,7.6,7.0
tm227523,Fifty,MOVIE,2015,101,"['drama', 'sport', 'thriller', 'romance']",,6.1,4.9
ts37779,Danger Mouse,SHOW,2015,12,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi', 'european']",2.0,7.1,"6,455"
ts36983,Fuller House,SHOW,2016,27,"['comedy', 'family']",5.0,6.7,"7,587"
ts42137,Voltron: Legendary Defender,SHOW,2016,24,"['scifi', 'animation', 'action', 'comedy', 'family', 'drama', 'fantasy']",8.0,8.1,"7,367"
